food_no,category,food,measure,weight_g,water_pct,calories,protein_g,total_fat_g,sat_fat_g,mono_fat_g,poly_fat_g,cholesterol_mg,carbohydrate_g,fiber_g,calcium_mg,iron_mg,potassium_mg,sodium_mg,vit_a_iu,vit_a_re,thiamin_mg,riboflavin_mg,niacin_mg,vit_c_mg
3,Raw,per lb),1 apple,138,84,81,Tr,Tr,0.1,Tr,0.1,,,,,,,,,,,,,
32,Mono- Poly-,Cranberry juice cocktail,8 fl oz,253,86,144,0,Tr,Tr,Tr,0.1,0,36,0.3,8,0.4,46,5,10,0,0.02,0.02,0.1,90
33,Mono- Poly-,Fruit punch drink,8 fl oz,248,88,117,0,0,Tr,Tr,Tr,0,30,0.2,20,0.5,62,55,35,2,0.05,0.06,0.1,73
34,Mono- Poly-,Grape drink,8 fl oz,250,88,113,0,0,Tr,0.0,Tr,0,29,0.0,8,0.4,13,15,3,0,0.01,0.01,0.1,85
35,Mono- Poly-,Pineapple grapefruit juice drink,8 fl oz,250,88,118,1,Tr,Tr,Tr,0.1,0,29,0.3,18,0.8,153,35,88,10,0.08,0.04,0.7,115
36,Mono- Poly-,Pineapple orange juice drink,8 fl oz,250,87,125,3,0,0.0,0.0,0.0,0,30,0.3,13,0.7,115,8,1328,133,0.08,0.05,0.5,56
37,Lemonade,"Frozen concentrate, prepared",8 fl oz,248,89,99,Tr,0,Tr,Tr,Tr,0,26,0.2,7,0.4,37,7,52,5,0.01,0.05,Tr,10
38,Lemonade,Regular,8 fl oz,266,89,112,0,0,Tr,Tr,Tr,0,29,0.0,29,0.1,3,19,0,0,0.00,Tr,0.0,34
39,Lemonade,"Low calorie, sweetened with aspartame",8 fl oz,237,99,5,0,0,0.0,0.0,0.0,0,1,0.0,50,0.1,0,7,0,0,0.00,0.00,0.0,6
40,Chocolate,Powder 3 heaping,tsp,21,3,75,1,1,0.4,0.2,0.1,1,18,0.2,93,3.6,251,125,2751,824,0.64,0.86,10.7,32
41,Chocolate,Prepared,1 cup,265,81,225,9,9,5.5,2.6,0.4,34,29,0.3,384,3.8,620,244,3058,901,0.73,1.26,10.9,34
42,Natural,Powder 4-5 heaping,tsp,21,3,80,2,1,0.3,0.2,0.1,4,17,0.1,79,3.5,203,85,2222,668,0.62,0.75,10.2,27
43,Natural,Prepared,1 cup,265,81,231,10,9,5.4,2.5,0.4,34,28,0.0,371,3.6,572,204,2531,742,0.71,1.14,10.4,29
44,Dairy Products,"Rice beverage, canned (RICE DREAM)",1 cup,245,89,120,Tr,2,0.2,1.3,0.3,0,25,0.0,20,0.2,69,86,5,0,0.08,0.01,1.9,1
45,Brewed,Black,6 fl oz,178,100,2,0,0,Tr,Tr,Tr,0,1,0.0,0,Tr,66,5,0,0,0.00,0.02,0.0,0
46,Herb,Chamomile,6 fl oz,178,100,2,0,0,Tr,Tr,Tr,0,Tr,0.0,4,0.1,16,2,36,4,0.02,0.01,0.0,0
47,Herb,Other than chamomile,6 fl oz,178,100,2,0,0,Tr,Tr,Tr,0,Tr,0.0,4,0.1,16,2,0,0,0.02,0.01,0.0,0
48,"Instant, powder, prepared",Unsweetened,8 fl oz,237,100,2,0,0,0.0,0.0,0.0,0,Tr,0.0,5,Tr,47,7,0,0,0.00,Tr,0.1,0
49,"Instant, powder, prepared","Sweetened, lemon flavor",8 fl oz,259,91,88,Tr,0,Tr,Tr,Tr,0,22,0.0,5,0.1,49,8,0,0,0.00,0.05,0.1,0
50,"Instant, powder, prepared","Sweetened with saccharin, lemon flavor",8 fl oz,237,99,5,0,0,0.0,0.0,Tr,0,1,0.0,5,0.1,40,24,0,0,0.00,0.01,0.1,0
51,,,,,,,,,,,,0,0,0.0,5,Tr,0,7,0,0,0.00,0.00,0.0,0
52,Natural,Blue,1 oz,28,42,100,6,8,5.3,2.2,0.2,21,1,0.0,150,0.1,73,396,204,65,0.01,0.11,0.3,0
53,Natural,Camembert (3 wedges per 4-oz container),1 wedge,38,52,114,8,9,5.8,2.7,0.3,27,Tr,0.0,147,0.1,71,320,351,96,0.01,0.19,0.2,0
54,Cheddar,Cut pieces,1 oz,28,37,114,7,9,6.0,2.7,0.3,30,Tr,0.0,204,0.2,28,176,300,79,0.01,0.11,Tr,0
55,Cheddar,1 cubic inch,,17,37,68,4,6,3.6,1.6,0.2,18,Tr,0.0,123,0.1,17,105,180,47,Tr,0.06,Tr,0
56,Cheddar,Shredded,1 cup,113,37,455,28,37,23.8,10.6,1.1,119,1,0.0,815,0.8,111,701,1197,314,0.03,0.42,0.1,0
57,Cottage,Large curd,1 cup,225,79,233,28,10,6.4,2.9,0.3,34,6,0.0,135,0.3,190,911,367,108,0.05,0.37,0.3,0
58,Cottage,Small curd,1 cup,210,79,217,26,9,6.0,2.7,0.3,31,6,0.0,126,0.3,177,850,342,101,0.04,0.34,0.3,0
59,Cottage,With fruit,1 cup,226,72,279,22,8,4.9,2.2,0.2,25,30,0.0,108,0.2,151,915,278,81,0.04,0.29,0.2,0
60,Cottage,Low fat (2%),1 cup,226,79,203,31,4,2.8,1.2,0.1,19,8,0.0,155,0.4,217,918,158,45,0.05,0.42,0.3,0
61,Cottage,Low fat (1%),1 cup,226,82,164,28,2,1.5,0.7,0.1,10,6,0.0,138,0.3,193,918,84,25,0.05,0.37,0.3,0
62,Cottage,"Uncreamed (dry curd, less than % fat)",1 cup,145,80,123,25,1,0.4,0.2,Tr,10,3,0.0,46,0.3,47,19,44,12,0.04,0.21,0.2,0
63,Cream,Regular,1 oz,28,54,99,2,10,6.2,2.8,0.4,31,1,0.0,23,0.3,34,84,405,108,Tr,0.06,Tr,0
64,Cream,,1 tbsp,15,54,51,1,5,3.2,1.4,0.2,16,Tr,0.0,12,0.2,17,43,207,55,Tr,0.03,Tr,0
65,Cream,Low fat,1 tbsp,15,64,35,2,3,1.7,0.7,0.1,8,1,0.0,17,0.3,25,44,108,33,Tr,0.04,Tr,0
66,Cream,Fat free,1 tbsp,16,76,15,2,Tr,0.1,0.1,Tr,1,1,0.0,29,Tr,25,85,145,44,0.01,0.03,Tr,0
67,Cream,Feta,1 oz,28,55,75,4,6,4.2,1.3,0.2,25,1,0.0,140,0.2,18,316,127,36,0.04,0.24,0.3,0
68,Cream,"Low fat, cheddar or colby",1 oz,28,63,49,7,2,1.2,0.6,0.1,6,1,0.0,118,0.1,19,174,66,18,Tr,0.06,Tr,0
69,"Mozzarella, made with",Whole milk,1 oz,28,54,80,6,6,3.7,1.9,0.2,22,1,0.0,147,0.1,19,106,225,68,Tr,0.07,Tr,0
70,"Mozzarella, made with",Part skim milk (low moisture),1 oz,28,49,79,8,5,3.1,1.4,0.1,15,1,0.0,207,0.1,27,150,199,54,0.01,0.10,Tr,0
71,"Mozzarella, made with",Muenster,1 oz,28,42,104,7,9,5.4,2.5,0.2,27,Tr,0.0,203,0.1,38,178,318,90,Tr,0.09,Tr,0
72,"Mozzarella, made with",Neufchatel,1 oz,28,62,74,3,7,4.2,1.9,0.2,22,1,0.0,21,0.1,32,113,321,85,Tr,0.06,Tr,0
73,"Mozzarella, made with","Parmesan, grated",1 cup,100,18,456,42,30,19.1,8.7,0.7,79,4,0.0,1376,1.0,107,1862,701,173,0.05,0.39,0.3,0
74,"Mozzarella, made with",,1 tbsp,5,18,23,2,2,1.0,0.4,Tr,4,Tr,0.0,69,Tr,5,93,35,9,Tr,0.02,Tr,0
